"ID","STATE_NAME","LOWINCPCT","B_LWINCPCT","P_LWINCPCT","T_LWINCPCT","LESSHSPCT","B_LESHSPCT","P_LESHSPCT","T_LESHSPCT","LINGISOPCT","PRE1960PCT","D_LDPNT_2","B_LDPNT_D2","P_LDPNT_D2","B_LDPNT","P_LDPNT","T_LDPNT","T_LDPNT_D2","D_PM25_2","B_PM25_D2","P_PM25_D2","PM25","B_PM25","P_PM25","T_PM25","T_PM25_D2"
"19",120010005004,"Florida",0.41601866251944,7,64,"42% (64%ile)",0.043763676148796,3,22,"4% (22%ile)",0,0.695798319327731,-28.1816737275669,1,7,11,97,"0.7 = fraction pre-1960 (97%ile)","7%ile",-318.562628903628,5,44,7.8652298630137,4,31,"7.87 ug/m3 (31%ile)","44%ile"
"20",120010005005,"Florida",0.213051823416506,3,27,"21% (27%ile)",0,1,2,"0% (2%ile)",0,0.574525745257452,-51.7296007642989,1,3,11,95,"0.57 = fraction pre-1960 (95%ile)","3%ile",-708.175750332684,4,39,7.8652298630137,4,31,"7.87 ug/m3 (31%ile)","39%ile"
"21",120010006001,"Florida",0.333333333333333,6,50,"33% (50%ile)",0.105263157894736,6,54,"11% (54%ile)",0.026315789473684,0.14762741652021,71.8675216921508,9,84,8,75,"0.15 = fraction pre-1960 (75%ile)","84%ile",3817.39181595407,8,75,7.84153506849315,3,29,"7.84 ug/m3 (29%ile)","75%ile"
"22",120010006002,"Florida",0.7296,11,95,"73% (95%ile)",0.167364016736401,8,74,"17% (74%ile)",0,0.241279069767441,75.7916181092312,9,85,9,82,"0.24 = fraction pre-1960 (82%ile)","85%ile",2463.21668876716,7,67,7.84153506849315,3,29,"7.84 ug/m3 (29%ile)","67%ile"
"23",120010006003,"Florida",0.702105263157894,10,94,"70% (94%ile)",0.17469446441409,8,75,"17% (75%ile)",0.01641266119578,0.146652497343251,195.695988014447,10,92,8,75,"0.15 = fraction pre-1960 (75%ile)","92%ile",10463.8992214838,10,93,7.84153506849315,3,29,"7.84 ug/m3 (29%ile)","93%ile"
"24",120010007001,"Florida",0.403225806451612,7,62,"40% (62%ile)",0.042622950819672,3,22,"4% (22%ile)",0.218085106382978,0.231660231660231,43.1712213431224,9,80,9,82,"0.23 = fraction pre-1960 (82%ile)","80%ile",1461.13422541709,7,60,7.84056328767123,3,29,"7.84 ug/m3 (29%ile)","60%ile"
"25",120010007002,"Florida",0.489401496259351,8,74,"49% (74%ile)",0.167820069204152,8,74,"17% (74%ile)",0,0.282371294851794,148.488163063433,10,90,9,85,"0.28 = fraction pre-1960 (85%ile)","90%ile",4123.04954928211,8,76,7.84056328767123,3,29,"7.84 ug/m3 (29%ile)","76%ile"
"26",120010007003,"Florida",0.574007220216606,9,85,"57% (85%ile)",0.248637602179836,9,87,"25% (87%ile)",0,0.123222748815165,64.4090259408138,9,83,8,72,"0.12 = fraction pre-1960 (72%ile)","83%ile",4098.29393551118,8,76,7.84056328767123,3,29,"7.84 ug/m3 (29%ile)","76%ile"
"27",120010007004,"Florida",0.562772449869224,9,83,"56% (83%ile)",0.189255189255189,8,78,"19% (78%ile)",0,0.207158351409978,135.370238810654,10,90,9,80,"0.21 = fraction pre-1960 (80%ile)","90%ile",5123.51501852596,9,80,7.84056328767123,3,29,"7.84 ug/m3 (29%ile)","80%ile"
"28",120010008061,"Florida",0.641002277904328,10,90,"64% (90%ile)",0.0625,4,33,"6% (33%ile)",0.075435203094777,0.041454545454545,17.6450540294411,8,73,6,54,"0.041 = fraction pre-1960 (54%ile)","73%ile",3352.76781018809,8,72,7.87685123287671,4,31,"7.88 ug/m3 (31%ile)","72%ile"
"29",120010008081,"Florida",0.554696132596685,9,83,"55% (83%ile)",0.037878787878788,2,19,"4% (19%ile)",0.024590163934426,0.020449897750511,4.30522995859424,7,64,5,42,"0.02 = fraction pre-1960 (42%ile)","64%ile",1663.18620424945,7,62,7.90015589041096,4,33,"7.9 ug/m3 (33%ile)","62%ile"
"30",120010008082,"Florida",0.61633281972265,9,89,"62% (89%ile)",0.066974595842956,4,36,"7% (36%ile)",0.113475177304964,0.114882506527415,18.797474330072,8,74,8,71,"0.11 = fraction pre-1960 (71%ile)","74%ile",1292.65091825037,6,59,7.90015589041096,4,33,"7.9 ug/m3 (33%ile)","59%ile"
"31",120010008083,"Florida",0.583668775158136,9,86,"58% (86%ile)",0.033373063170441,2,16,"3% (16%ile)",0.037142857142857,0.05011135857461,15.0356246619784,8,72,6,58,"0.05 = fraction pre-1960 (58%ile)","72%ile",2370.39629573166,7,66,7.90015589041096,4,33,"7.9 ug/m3 (33%ile)","66%ile"
"32",120010008091,"Florida",0.493383742911153,8,75,"49% (75%ile)",0.106223175965665,6,55,"11% (55%ile)",0.031088082901554,0.052117263843648,7.85178416284619,7,67,6,58,"0.052 = fraction pre-1960 (58%ile)","67%ile",1189.27164421249,6,58,7.89394904109589,4,32,"7.89 ug/m3 (32%ile)","58%ile"
"33",120010009011,"Florida",0.772727272727272,11,97,"77% (97%ile)",0.023706896551724,2,10,"2% (10%ile)",0.322115384615384,0.241650294695481,291.224608980882,11,95,9,82,"0.24 = fraction pre-1960 (82%ile)","95%ile",9493.34854710822,10,92,7.87732356164384,4,31,"7.88 ug/m3 (31%ile)","92%ile"
"34",120010009021,"Florida",0.607843137254901,9,88,"61% (88%ile)",0.081818181818182,5,43,"8% (43%ile)",0,0.527777777777777,97.3718775810513,9,87,10,93,"0.53 = fraction pre-1960 (93%ile)","87%ile",1454.49338034305,7,60,7.88368575342466,4,32,"7.88 ug/m3 (32%ile)","60%ile"
"35",120010009022,"Florida",0,1,0,"0% (0%ile)",0,1,2,"0% (2%ile)",0,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",-2165.00211449982,3,21,7.88368575342466,4,32,"7.88 ug/m3 (32%ile)","21%ile"
"36",120010009023,"Florida",0,1,0,"0% (0%ile)",0,1,2,"0% (2%ile)",0,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",-3011.61621426615,2,14,7.88368575342466,4,32,"7.88 ug/m3 (32%ile)","14%ile"
"37",120010009024,"Florida",0,1,0,"0% (0%ile)",0,1,2,"0% (2%ile)",0,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",-1225.21943715513,4,32,7.88368575342466,4,32,"7.88 ug/m3 (32%ile)","32%ile"
"38",120010010001,"Florida",0.264214046822742,4,37,"26% (37%ile)",0,1,2,"0% (2%ile)",0,0.803418803418803,-95.8577235083176,1,1,11,99,"0.8 = fraction pre-1960 (99%ile)","1%ile",-940.934633085118,4,36,7.88631890410959,4,32,"7.89 ug/m3 (32%ile)","36%ile"
"39",120010010002,"Florida",0.531177829099307,9,80,"53% (80%ile)",0,1,2,"0% (2%ile)",0,0.264993026499302,8.05386371852077,7,68,9,84,"0.26 = fraction pre-1960 (84%ile)","68%ile",239.686826983955,6,50,7.88631890410959,4,32,"7.89 ug/m3 (32%ile)","50%ile"
"40",120010010003,"Florida",0.838082901554404,11,98,"84% (98%ile)",0,1,2,"0% (2%ile)",0,0.191202872531418,78.5253196205337,9,85,8,79,"0.19 = fraction pre-1960 (79%ile)","85%ile",3238.84105074261,8,72,7.88631890410959,4,32,"7.89 ug/m3 (32%ile)","72%ile"
"41",120010010004,"Florida",0.592036063110443,9,86,"59% (86%ile)",0,1,2,"0% (2%ile)",0,0.655870445344129,8.15192901413251,7,68,11,96,"0.66 = fraction pre-1960 (96%ile)","68%ile",98.0204434358694,5,49,7.88631890410959,4,32,"7.89 ug/m3 (32%ile)","49%ile"
"42",120010010005,"Florida",0.105182926829268,1,7,"11% (7%ile)",0.061757719714964,4,33,"6% (33%ile)",0,0.142857142857142,-19.0508483056754,2,11,8,75,"0.14 = fraction pre-1960 (75%ile)","11%ile",-1051.68745592661,4,34,7.88631890410959,4,32,"7.89 ug/m3 (32%ile)","34%ile"
"43",120010011001,"Florida",0.116890380313199,1,9,"12% (9%ile)",0,1,2,"0% (2%ile)",0.026101141924959,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",-1658.81569842764,3,27,7.86871123287671,4,31,"7.87 ug/m3 (31%ile)","27%ile"
"44",120010011002,"Florida",0.205507051712558,3,26,"21% (26%ile)",0.020865533230294,1,9,"2% (9%ile)",0.033722438391699,0.044758539458186,-13.9604335298021,2,14,6,55,"0.045 = fraction pre-1960 (55%ile)","14%ile",-2454.29411820746,2,19,7.86871123287671,4,31,"7.87 ug/m3 (31%ile)","19%ile"
"45",120010011003,"Florida",0.363756033347959,6,56,"36% (56%ile)",0.083040112596763,5,44,"8% (44%ile)",0.016414141414141,0.042801556420233,2.19467701181044,7,62,6,55,"0.043 = fraction pre-1960 (55%ile)","62%ile",403.473170129987,6,52,7.86871123287671,4,31,"7.87 ug/m3 (31%ile)","52%ile"
"46",120010011004,"Florida",0.05419029615627,1,1,"5% (1%ile)",0.02735781137509,2,13,"3% (13%ile)",0,0.178666666666666,-83.9049371807279,1,2,8,78,"0.18 = fraction pre-1960 (78%ile)","2%ile",-3695.28202437208,2,10,7.86871123287671,4,31,"7.87 ug/m3 (31%ile)","10%ile"
"47",120010012011,"Florida",0.201110786319789,3,25,"20% (25%ile)",0.056523586910327,4,30,"6% (30%ile)",0.018461538461538,0.042128603104213,-8.09804642509938,2,19,6,54,"0.042 = fraction pre-1960 (54%ile)","19%ile",-1511.18476516684,3,28,7.86166191780822,4,30,"7.86 ug/m3 (30%ile)","28%ile"
"48",120010012021,"Florida",0.248358208955223,4,34,"25% (34%ile)",0.029239766081871,2,14,"3% (14%ile)",0.031081081081081,0.040770101925255,-3.80331579880401,3,25,6,54,"0.041 = fraction pre-1960 (54%ile)","25%ile",-734.41408577282,4,39,7.8726402739726,4,31,"7.87 ug/m3 (31%ile)","39%ile"
"49",120010012022,"Florida",0.297481860862142,5,44,"30% (44%ile)",0.065871663827371,4,35,"7% (35%ile)",0,0.054406130268199,-9.8417009828033,2,17,6,59,"0.054 = fraction pre-1960 (59%ile)","17%ile",-1424.10737796768,4,30,7.8726402739726,4,31,"7.87 ug/m3 (31%ile)","30%ile"
"50",120010012023,"Florida",0.410322580645161,7,63,"41% (63%ile)",0.053264604810996,3,28,"5% (28%ile)",0,0.035294117647059,2.84096922211499,7,63,6,51,"0.035 = fraction pre-1960 (51%ile)","63%ile",633.701313595608,6,54,7.8726402739726,4,31,"7.87 ug/m3 (31%ile)","54%ile"
"51",120010012024,"Florida",0.256480218281036,4,36,"26% (36%ile)",0.076923076923077,5,41,"8% (41%ile)",0.041269841269841,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",199.733412241932,6,50,7.8726402739726,4,31,"7.87 ug/m3 (31%ile)","50%ile"
"52",120010012025,"Florida",0.122826696578799,2,10,"12% (10%ile)",0.029640084685956,2,14,"3% (14%ile)",0.052215189873418,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",-1984.22502747785,3,23,7.8726402739726,4,31,"7.87 ug/m3 (31%ile)","23%ile"
"53",120010012031,"Florida",0.411970074812967,7,64,"41% (64%ile)",0.104247104247104,6,54,"10% (54%ile)",0.018796992481203,0.1378896882494,7.28426325421144,7,67,8,74,"0.14 = fraction pre-1960 (74%ile)","67%ile",415.388613480962,6,52,7.86322575342466,4,31,"7.86 ug/m3 (31%ile)","52%ile"
"54",120010012032,"Florida",0.334417696811971,6,51,"33% (51%ile)",0.043803418803419,3,22,"4% (22%ile)",0.023696682464455,0.016438356164384,0.371389652837558,6,59,4,38,"0.016 = fraction pre-1960 (38%ile)","59%ile",177.652841533821,5,49,7.86322575342466,4,31,"7.86 ug/m3 (31%ile)","49%ile"
"55",120010014001,"Florida",0.57452229299363,9,85,"57% (85%ile)",0.153788447111777,8,70,"15% (70%ile)",0,0.338983050847457,226.115993506319,10,93,9,87,"0.34 = fraction pre-1960 (87%ile)","93%ile",5208.81213986416,9,81,7.8088197260274,3,28,"7.81 ug/m3 (28%ile)","81%ile"
"56",120010014002,"Florida",0.528350515463917,9,80,"53% (80%ile)",0.074966532797858,5,40,"7% (40%ile)",0,0.344230769230769,41.1182029446395,8,79,9,87,"0.34 = fraction pre-1960 (87%ile)","79%ile",932.759831349205,6,56,7.8088197260274,3,28,"7.81 ug/m3 (28%ile)","56%ile"
"57",120010014003,"Florida",0.491566265060241,8,75,"49% (75%ile)",0.374131944444444,11,97,"37% (97%ile)",0.017241379310345,0.149606299212598,54.6044762802871,9,82,8,76,"0.15 = fraction pre-1960 (76%ile)","82%ile",2850.12405059877,7,69,7.8088197260274,3,28,"7.81 ug/m3 (28%ile)","69%ile"
"58",120010015141,"Florida",0.665650406504065,10,92,"67% (92%ile)",0.068230277185501,4,36,"7% (36%ile)",0.014957264957265,0.047540983606557,5.88635635862908,7,66,6,56,"0.048 = fraction pre-1960 (56%ile)","66%ile",977.320677802733,6,57,7.89330164383562,4,32,"7.89 ug/m3 (32%ile)","57%ile"
"59",120010015142,"Florida",0.633333333333333,10,90,"63% (90%ile)",0.021077283372365,1,9,"2% (9%ile)",0.006896551724138,0.013215859030837,1.38244967350559,7,60,4,35,"0.013 = fraction pre-1960 (35%ile)","60%ile",825.681649217061,6,56,7.89330164383562,4,32,"7.89 ug/m3 (32%ile)","56%ile"
"60",120010015151,"Florida",0.796501457725947,11,98,"80% (98%ile)",0.086153846153846,5,46,"9% (46%ile)",0.068069306930693,0.024347826086957,12.0289234498015,8,71,5,45,"0.024 = fraction pre-1960 (45%ile)","71%ile",3899.61982960186,8,75,7.89324712328767,4,32,"7.89 ug/m3 (32%ile)","75%ile"
"61",120010015152,"Florida",0.533820840950639,9,80,"53% (80%ile)",0.081196581196581,5,43,"8% (43%ile)",0,0.099264705882353,11.6389837563573,8,70,7,69,"0.099 = fraction pre-1960 (69%ile)","70%ile",925.498889421399,6,56,7.89324712328767,4,32,"7.89 ug/m3 (32%ile)","56%ile"
"62",120010015153,"Florida",0.775551782682512,11,97,"78% (97%ile)",0.092485549132948,5,49,"9% (49%ile)",0.024583663758921,0.05798749289369,44.4403206351716,9,80,7,60,"0.058 = fraction pre-1960 (60%ile)","80%ile",6049.20846732662,9,84,7.89324712328767,4,32,"7.89 ug/m3 (32%ile)","84%ile"
"63",120010015161,"Florida",0.743243243243243,11,96,"74% (96%ile)",0.009852216748768,1,4,"1% (4%ile)",0.019117647058823,0.018497109826589,8.34351817653632,7,68,5,40,"0.018 = fraction pre-1960 (40%ile)","68%ile",3560.45402770143,8,73,7.89332602739726,4,32,"7.89 ug/m3 (32%ile)","73%ile"
"64",120010015162,"Florida",0.506896551724137,8,77,"51% (77%ile)",0.133116883116883,7,64,"13% (64%ile)",0,0.06078431372549,4.53228189935342,7,64,7,61,"0.061 = fraction pre-1960 (61%ile)","64%ile",588.552810536472,6,54,7.89332602739726,4,32,"7.89 ug/m3 (32%ile)","54%ile"
"65",120010015171,"Florida",0.712686567164179,11,95,"71% (95%ile)",0.009693053311793,1,4,"1% (4%ile)",0.016211604095563,0.014736842105263,9.28994582990509,7,69,4,37,"0.015 = fraction pre-1960 (37%ile)","69%ile",4969.30541265919,9,80,7.88291671232877,4,32,"7.88 ug/m3 (32%ile)","80%ile"
"66",120010015172,"Florida",0.632515337423312,10,90,"63% (90%ile)",0.081761006289308,5,43,"8% (43%ile)",0.069478908188586,0.036379769299024,9.49457848347725,7,69,6,52,"0.036 = fraction pre-1960 (52%ile)","69%ile",2057.3239700541,7,64,7.88291671232877,4,32,"7.88 ug/m3 (32%ile)","64%ile"
"67",120010015191,"Florida",0.797705943691345,11,98,"80% (98%ile)",0.049393414211438,3,26,"5% (26%ile)",0.055147058823529,0.012658227848101,12.7780172501543,8,71,4,35,"0.013 = fraction pre-1960 (35%ile)","71%ile",7960.41954850282,9,89,7.88579342465753,4,32,"7.89 ug/m3 (32%ile)","89%ile"
"68",120010015201,"Florida",0.840146991272393,11,98,"84% (98%ile)",0.097457627118644,6,51,"10% (51%ile)",0.065762004175365,0.019771863117871,14.4879291257171,8,72,5,41,"0.02 = fraction pre-1960 (41%ile)","72%ile",5779.78597564055,9,83,7.88774821917808,4,32,"7.89 ug/m3 (32%ile)","83%ile"
"69",120010015211,"Florida",0.606681514476614,9,88,"61% (88%ile)",0.123661148977604,7,61,"12% (61%ile)",0.020554984583761,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",4152.80330054908,8,76,7.89028602739726,4,32,"7.89 ug/m3 (32%ile)","76%ile"
"70",120010015212,"Florida",0.869628550619082,11,99,"87% (99%ile)",0,1,2,"0% (2%ile)",0.05640243902439,0.08991825613079,36.8828371055154,8,79,7,67,"0.09 = fraction pre-1960 (67%ile)","79%ile",3236.45215984974,8,72,7.89028602739726,4,32,"7.89 ug/m3 (32%ile)","72%ile"
"71",120010015213,"Florida",0.675941080196399,10,93,"68% (93%ile)",0.101030927835051,6,52,"10% (52%ile)",0.021333333333333,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",1034.28325094591,6,57,7.89028602739726,4,32,"7.89 ug/m3 (32%ile)","57%ile"
"72",120010016031,"Florida",0.577368779822767,9,85,"58% (85%ile)",0.04903078677309,3,26,"5% (26%ile)",0.023076923076923,0.288824383164005,44.3018910205995,9,80,9,85,"0.29 = fraction pre-1960 (85%ile)","80%ile",1207.74097709304,6,58,7.87381835616438,4,31,"7.87 ug/m3 (31%ile)","58%ile"
"73",120010016041,"Florida",0.595765632693254,9,87,"60% (87%ile)",0.040330920372285,3,20,"4% (20%ile)",0.016042780748663,0.066094420600858,20.4985836963972,8,74,7,62,"0.066 = fraction pre-1960 (62%ile)","74%ile",2444.01071398377,7,67,7.88032356164384,4,31,"7.88 ug/m3 (31%ile)","67%ile"
"74",120010016042,"Florida",0.153688524590163,2,15,"15% (15%ile)",0.021666666666667,1,9,"2% (9%ile)",0,0.25,-49.9250745519722,1,4,9,83,"0.25 = fraction pre-1960 (83%ile)","4%ile",-1573.70296523493,3,28,7.88032356164384,4,31,"7.88 ug/m3 (31%ile)","28%ile"
"75",120010016043,"Florida",0.661971830985915,10,92,"66% (92%ile)",0,1,2,"0% (2%ile)",0.078703703703704,0.041044776119403,4.07857512423548,7,64,6,54,"0.041 = fraction pre-1960 (54%ile)","64%ile",783.059251095627,6,55,7.88032356164384,4,31,"7.88 ug/m3 (31%ile)","55%ile"
"76",120010016044,"Florida",0.636535731187884,10,90,"64% (90%ile)",0.088669950738916,5,47,"9% (47%ile)",0.034591194968553,0,0,6,58,3,25,"0 = fraction pre-1960 (25%ile)","58%ile",3362.1088797125,8,72,7.88032356164384,4,31,"7.88 ug/m3 (31%ile)","72%ile"
